all0,all1,all2,all3,all4,all5,all6,all7,all8,all9,all10,all11,all12,all13,all14,call0,call1,call2,call3,call4,call5,call6,call7,call8,call9,call10,call11,call12,call13,call14,mit0,mit1,mit2,mit3,mit4,mit5,mit6,mit7,mit8,mit9,mit10,mit11,mit12,mit13,mit14,rl0,rl1,rl2,rl3,rl4,rl5,rl6,rl7,rl8,rl9,rl10,rl11,rl12,rl13,rl14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,892,364,101,20109,16168,9647,2128,2337,3059,4524,1856,697,460,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2130,979,561,49234,45268,24656,7083,14553,15515,26206,12298,8285,7021,1318
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,2248,1299,846,44985,54238,23658,10111,17170,14225,35642,19893,10950,13017,2739
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,2294,1528,957,43017,60395,23132,13475,19130,13532,37821,24618,12052,15771,3291
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2124,973,623,48434,44511,24254,6702,13890,14975,28831,12618,8911,8173,1767
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1114,363,165,26569,17744,13676,1766,3333,5144,8046,2445,1596,1065,180,65,2212,1278,802,46477,53590,23009,10120,16560,14354,33984,19058,10437,12038,2464
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,922,422,106,20795,18107,9696,2788,2733,3108,4553,2113,689,492,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,2105,975,621,48756,44570,23770,6727,13734,14945,28374,12618,8734,8208,1707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,2069,968,517,51056,45099,22989,7216,13859,15331,24177,11694,7366,6268,1057
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,3418,1786,2400,50140,50961,26638,10486,40608,36099,72851,37675,53005,53932,23487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
